date2,QUOTA ALLOCATED, LOAD DRAWN (MW),LAOD SHEDDING (MW) (LOAD MANAGEMENT),TOTAL DEMAND (MW) 
6/14/2017,78154,76464,11125,87589
6/15/2017,78258,76674,9184,85858
6/16/2017,78116,76722,9627,86349
6/17/2017,75377,72649,8048,80697
6/18/2017,74604,72270,7177,79447
6/19/2017,73744,67779,14987,82766
6/20/2017,71161,62356,12567,74923
6/21/2017,69092,59448,6615,66063
6/22/2017,69410,65676,6831,72507
6/23/2017,73567,70496,6151,76647
6/24/2017,73945,73267,7286,80553
6/25/2017,71758,72748,3140,75888
6/26/2017,71832,70693,2539,73232
6/27/2017,71095,66168,2181,68349
6/28/2017,69041,53638,3252,56890
6/29/2017,66116,55411,1538,56949
6/30/2017,65957,60243,1526,61769
7/1/2017,67170,66368,5802,72170
7/2/2017,69685,69707,6495,76202
7/3/2017,72387,72708,11400,84108
7/4/2017,76109,77415,14760,92175
7/5/2017,75626,78121,15337,93458
7/6/2017,77081,73447,11066,84513
7/7/2017,76797,74990,4880,79870
7/8/2017,76335,77561,10297,87858
7/9/2017,76033,78191,7059,85250
7/10/2017,78399,80904,11984,92888
7/11/2017,79281,80090,14159,94249
7/12/2017,79514,73437,5150,78587
7/13/2017,77459,71896,6767,78663
7/14/2017,76710,79700,7287,86987
7/15/2017,78020,80130,8169,88299
7/16/2017,78959,78402,6128,84530
7/17/2017,78877,79045,12023,91068
7/18/2017,77262,77150,10724,87874
7/19/2017,79031,78143,13105,91248
7/20/2017,77148,79271,15648,94919
7/21/2017,78541,78887,14294,93181
7/22/2017,76657,77889,15636,93525
7/23/2017,75815,75669,10605,86274
7/24/2017,77345,78396,13909,92305
7/25/2017,79787,80121,16455,96576
7/26/2017,80205,81006,16112,97118
7/27/2017,79527,81488,13798,95286
7/28/2017,79564,80082,11724,91806
7/29/2017,79350,79912,10693,90605
7/30/2017,77513,77486,6199,83685
7/31/2017,76460,77019,10823,87842
8/1/2017,74586,75686,12331,88017
8/2/2017,80716,77526,5488,83014
8/3/2017,77894,79234,11622,90856
8/4/2017,78706,79912,16010,95922
8/5/2017,80272,81330,14549,95879
8/6/2017,74518,76765,12279,89044
8/7/2017,77569,79818,16743,96561
8/8/2017,76307,79150,19003,98153
8/9/2017,75097,78324,21578,99902
8/10/2017,80846,81378,18514,99892
8/11/2017,79334,79201,22117,101318
8/12/2017,76827,78252,22036,100288
8/13/2017,80259,77771,12832,90603
8/14/2017,78741,69299,2700,71999
8/15/2017,79943,77827,10046,87873
8/16/2017,79250,77876,15769,93645
8/17/2017,79023,77373,21016,98389
8/18/2017,79097,79034,20680,99714
8/19/2017,79970,79948,16748,96696
8/20/2017,80789,79858,3046,82904
8/21/2017,79708,79007,11480,90487
8/22/2017,77905,77835,17002,94837
8/23/2017,77789,79400,18692,98092
