date2,QUOTA ALLOCATED, LOAD DRAWN (MW),LAOD SHEDDING (MW) (LOAD MANAGEMENT),TOTAL DEMAND (MW) 
12/20/2018,50230,45337,2618,47955
12/21/2018,50305,46947,1377,48324
12/22/2018,50329,46143,1388,47531
12/23/2018,49290,41584,1412,42996
12/24/2018,47068,39317,2622,41939
12/25/2018,47599,41188,824,42012
12/26/2018,47443,43334,2394,45728
12/27/2018,48101,45379,2592,47971
12/28/2018,46157,45031,3595,48626
12/29/2018,48023,45572,3731,49303
12/30/2018,48200,43048,1111,44159
12/31/2018,49328,44877,2136,47013
1/1/2019,49920,46379,2483,48862
1/2/2019,42490,39683,10793,50476
1/3/2019,38716,35058,11741,46799
1/4/2019,49087,46190,6106,52296
1/5/2019,44868,41333,9593,50926
1/6/2019,42775,40836,5633,46469
1/7/2019,47506,44714,5924,50638
1/8/2019,51205,48042,2374,50416
1/9/2019,49391,47415,5295,52710
1/10/2019,52797,48793,2551,51344
1/11/2019,52485,46927,1637,48564
1/12/2019,51970,41671,1728,43399
1/13/2019,48555,39442,1485,40927
1/14/2019,51091,44255,2341,46596
1/15/2019,51513,45685,2350,48035
1/16/2019,51572,46014,2289,48303
1/17/2019,52460,45254,2278,47532
1/18/2019,53786,50062,1083,51145
1/19/2019,53419,49131,1073,50204
1/20/2019,51034,41327,1616,42943
1/21/2019,49942,36915,5031,41946
1/22/2019,51011,43323,2374,45697
1/23/2019,49314,42915,2610,45525
1/24/2019,49629,44004,2332,46336
1/25/2019,46420,43191,4768,47959
1/26/2019,49912,44723,1308,46031
1/27/2019,49303,40764,1285,42049
1/28/2019,49477,43867,2320,46187
1/29/2019,50184,45197,2518,47715
1/30/2019,51892,46085,2234,48319
1/31/2019,51649,43870,3211,47081
2/1/2019,51597,45966,1187,47153
2/2/2019,51129,45143,1116,46259
2/3/2019,51597,45966,1187,47153
2/4/2019,54076,46475,2503,48978
2/5/2019,48189,36061,950,37011
2/6/2019,46319,34195,2363,36558
2/7/2019,48974,43005,1808,44813
2/8/2019,49790,45423,1067,46490
2/9/2019,49565,45739,836,46575
2/10/2019,49074,41484,853,42337
2/11/2019,48557,44152,2983,47135
2/12/2019,49876,46052,2023,48075
2/13/2019,50103,46124,2087,48211
2/14/2019,50035,45879,2119,47998
2/15/2019,50758,47142,1083,48225
2/16/2019,51141,46840,907,47747
2/17/2019,50725,41398,989,42387
2/18/2019,50394,42083,2613,44696
2/19/2019,49854,42637,1974,44611
2/20/2019,49714,42796,2620,45416
2/21/2019,48794,39666,2116,41782
2/22/2019,49527,42441,1029,43470
2/23/2019,49629,42446,1012,43458
2/24/2019,49674,37990,949,38939
2/25/2019,49670,40022,2688,42710
2/26/2019,49573,40417,2553,42970
2/27/2019,49140,42378,1819,44197
2/28/2019,49134,42667,1924,44591
3/1/2019,48420,43008,908,43916
3/2/2019,46461,39230,2816,42046
3/3/2019,47200,39773,1077,40850
3/4/2019,47718,41990,2163,44153
3/5/2019,48527,42683,2303,44986
3/6/2019,48844,43848,2089,45937
3/7/2019,49032,44719,2139,46858
3/8/2019,49974,45527,950,46477
3/9/2019,49987,45549,1041,46590
3/10/2019,49626,40652,1219,41871
3/11/2019,49558,42875,1807,44682
3/12/2019,49617,43254,2180,45434
3/13/2019,49545,43273,2075,45348
3/14/2019,49180,43557,1900,45457
3/15/2019,49952,45001,1125,46126
3/16/2019,49960,45168,1087,46255
3/17/2019,49196,40692,1326,42018
3/18/2019,49165,43870,2445,46315
3/19/2019,50910,46607,2740,49347
3/20/2019,51093,44676,3559,48235
3/21/2019,51302,47736,2550,50286
3/22/2019,52776,49407,1215,50622
3/23/2019,52785,44750,863,45613
3/24/2019,51649,41132,1273,42405
3/25/2019,51385,45059,2163,47222
3/26/2019,51102,46890,2551,49441
3/27/2019,52319,48358,2640,50998
3/28/2019,58406,51872,5848,57720
3/29/2019,58960,54880,1513,56393
3/30/2019,59830,55608,1473,57081
3/31/2019,56635,48534,1706,50240
4/1/2019,58041,52994,1710,54704
4/2/2019,60091,56342,1731,58073
4/3/2019,62078,57816,1940,59756
4/4/2019,63749,59420,2052,61472
4/5/2019,66203,62922,1686,64608
4/6/2019,63271,60431,6955,67386
4/7/2019,63155,57605,2213,59818
4/8/2019,68317,62614,2322,64936
4/9/2019,71130,64920,3334,68254
4/10/2019,71130,64920,3334,68254
4/11/2019,71894,68309,2288,70597
4/12/2019,71981,67888,1870,69758
4/13/2019,70436,63918,2395,66313
4/14/2019,70436,63918,2395,66313
4/15/2019,68006,68007,68008,68009
4/16/2019,68996,23225,11936,35161
4/17/2019,61343,45473,3112,48585
4/18/2019,58967,50970,2248,53218
4/19/2019,61078,55404,1327,56731
4/20/2019,64634,59062,1680,60742
4/21/2019,63687,57234,1569,58803
4/22/2019,70960,65259,2842,68101
4/23/2019,75578,69331,4233,73564
4/24/2019,75701,58742,8815,67557
4/25/2019,75480,67058,3430,70488
4/26/2019,76174,69528,2517,72045
4/27/2019,76734,70284,2112,72396
4/28/2019,74941,65081,2909,67990
4/29/2019,76771,70086,3440,73526
4/30/2019,75659,65926,4732,70658
5/1/2019,74673,67408,1873,69281
5/2/2019,74876,65810,3201,69011
5/3/2019,75377,69601,2067,71668
5/4/2019,75622,70607,2212,72819
5/5/2019,75344,68242,1641,69883
5/6/2019,78313,73258,2225,75483
5/7/2019,82871,78294,2225,80519
5/8/2019,87290,82682,2331,85013
5/9/2019,88664,83490,2290,85780
5/10/2019,87556,82408,2133,84541
5/11/2019,81596,75667,2482,78149
5/12/2019,78578,73424,1617,75041
5/13/2019,82177,75293,4442,79735
5/14/2019,82973,76163,2083,78246
5/15/2019,68006,68007,68008,68009
5/16/2019,78987,73212,2456,75668
5/17/2019,72794,66065,2673,68738
5/18/2019,73361,67999,1472,69471
5/19/2019,75718,67604,3817,71421
5/20/2019,80016,74148,2979,77127
5/21/2019,86617,82488,2188,84676
5/22/2019,89048,84841,2263,87104
5/23/2019,86668,78503,3965,82468
5/24/2019,78026,67930,6601,74531
5/25/2019,74376,66703,3480,70183
5/26/2019,77385,71582,2146,73728
5/27/2019,84609,79942,2253,82195
5/28/2019,91426,85918,2606,88524
5/29/2019,94451,89462,2645,92107
5/30/2019,96732,91077,3353,94430
5/31/2019,98808,93206,3318,96524
6/1/2019,99232,91524,3879,95403
6/2/2019,98854,88934,3016,91950
6/3/2019,98230,88208,4738,92946
6/4/2019,91337,77265,3444,80709
6/5/2019,86070,75320,1139,76459
6/6/2019,78944,70604,835,71439
6/7/2019,77441,70711,735,71446
6/8/2019,79929,75933,1766,77699
6/9/2019,82543,79107,1899,81006
6/10/2019,92411,87881,2977,90858
6/11/2019,97500,90296,3432,93728
6/12/2019,93134,83332,6381,89713
6/13/2019,95273,87468,3278,90746
6/14/2019,95709,88354,2419,90773
6/15/2019,94385,82983,5427,88410
6/16/2019,89866,77712,2865,80577
6/17/2019,91846,79646,7400,87046
6/18/2019,80805,73332,4083,77415
6/19/2019,88848,82388,4445,86833
6/20/2019,89305,76711,7290,84001
6/21/2019,86170,78720,3633,82353
6/22/2019,92380,85791,3597,89388
6/23/2019,88640,75846,6198,82044
6/24/2019,82959,69880,5699,75579
6/25/2019,85899,79879,3944,83823
6/26/2019,91682,80502,8118,88620
6/27/2019,92951,79243,5779,85022
6/28/2019,94754,88932,4870,93802
6/29/2019,95486,88798,4678,93476
6/30/2019,93558,83333,4118,87451
7/1/2019,96374,89154,6441,95595
7/2/2019,99188,90671,5959,96630
7/3/2019,102547,95598,6340,101938
7/4/2019,101790,87677,11065,98742
7/5/2019,98141,85688,5052,90740
7/6/2019,92173,78512,8069,86581
7/7/2019,91284,84002,3958,87960
7/8/2019,99107,93293,6397,99690
7/9/2019,99696,90986,6376,97362
7/10/2019,99790,93187,6501,99688
7/11/2019,100470,88472,8670,97142
7/12/2019,100829,90914,5251,96165
7/13/2019,97596,82935,6775,89710
7/14/2019,86976,68547,7448,75995
7/15/2019,85479,74143,4900,79043
7/16/2019,82780,64691,7125,71816
7/17/2019,84421,69043,5405,74448
7/18/2019,87305,77942,5361,83303
7/19/2019,89114,80045,4858,84903
7/20/2019,88282,78757,5997,84754
7/21/2019,86406,76853,4627,81480
7/22/2019,89748,83545,6726,90271
7/23/2019,100793,91355,7132,98487
7/24/2019,100793,91355,7132,98487
7/25/2019,93887,79785,7733,87518
7/26/2019,89038,80236,4755,84991
7/27/2019,87619,80202,4573,84775
7/28/2019,80711,70767,4284,75051
7/29/2019,87164,78952,5197,84149
7/30/2019,93343,86199,6297,92496
7/31/2019,96648,85800,5556,91356
8/1/2019,93749,78335,6190,84525
8/2/2019,90665,77158,5006,82164
8/3/2019,90297,81726,4124,85850
8/4/2019,90720,81223,4961,86184
8/5/2019,95783,90053,5846,95899
8/6/2019,98633,90971,6008,96979
8/7/2019,97684,88383,5410,93793
8/8/2019,98838,90445,6180,96625
8/9/2019,97949,82318,5603,87921
8/10/2019,95733,81453,4543,85996
8/11/2019,90276,76445,4032,80477
8/12/2019,85172,77126,1750,78876
8/13/2019,84947,77120,1347,78467
8/14/2019,84842,76863,1687,78550
8/15/2019,85774,76280,4534,80814
8/16/2019,84321,74761,5069,79830
8/17/2019,81915,70122,4197,74319
8/18/2019,80890,68268,3691,71959
8/19/2019,85533,76211,4491,80702
8/20/2019,89834,84392,4621,89013
8/21/2019,93323,86832,6905,93737
8/22/2019,96182,89879,5300,95179
8/23/2019,96353,89107,5214,94321
8/24/2019,96350,88777,5681,94458
8/25/2019,95917,84026,5061,89087
8/26/2019,94019,85423,5167,90590
8/27/2019,95370,86775,5862,92637
8/28/2019,97809,89748,7942,97690
8/29/2019,99761,91020,9708,100728
8/30/2019,99148,90162,6020,96182
8/31/2019,98680,88805,4136,92941
9/1/2019,91854,77986,5827,83813
9/2/2019,94460,80687,4292,84979
9/3/2019,96442,87564,5012,92576
9/4/2019,97657,89619,5549,95168
9/5/2019,97651,89142,4522,93664
9/6/2019,97730,90027,3975,94002
9/7/2019,96941,87062,4516,91578
9/8/2019,94873,83687,3412,87099
9/9/2019,92455,80351,1240,81591
9/10/2019,90759,75296,1506,76802
9/11/2019,95487,88020,4959,92979
9/12/2019,98720,92451,5631,98082
9/13/2019,99354,92335,4962,97297
9/14/2019,99514,91366,5106,96472
9/15/2019,99402,85385,4789,90174
9/16/2019,98994,86386,4997,91383
9/17/2019,97387,87185,4949,92134
9/18/2019,97428,88299,5235,93534
9/19/2019,96158,84707,4576,89283
9/20/2019,93783,81770,3603,85373
9/21/2019,91665,80532,3613,84145
9/22/2019,87014,75434,3762,79196
9/23/2019,86334,79062,4002,83064
9/24/2019,86847,80580,4164,84744
9/25/2019,86362,80784,4404,85188
9/26/2019,88122,81282,4266,85548
9/27/2019,87271,79266,3792,83058
9/28/2019,83285,68101,5177,73278
9/29/2019,76702,55561,3290,58851
9/30/2019,73130,60259,3401,63660
10/1/2019,70430,61554,3418,64972
10/2/2019,69723,64597,3802,68399
10/3/2019,70097,60750,4515,65265
10/4/2019,68194,53115,2792,55907
10/5/2019,66947,56382,2293,58675
10/6/2019,65737,51640,2521,54161
10/7/2019,63397,53926,3171,57097
10/8/2019,62448,56126,4819,60945
10/9/2019,65422,57988,3592,61580
10/10/2019,66474,59666,3734,63400
10/11/2019,66910,61602,2510,64112
10/12/2019,66773,60923,2672,63595
10/13/2019,65448,56550,2467,59017
10/14/2019,65575,60109,3876,63985
10/15/2019,67009,62072,3797,65869
10/16/2019,67765,62046,3915,65961
10/17/2019,65117,59344,4061,63405
10/18/2019,60890,48261,3955,52216
10/19/2019,58977,47765,2118,49883
10/20/2019,59008,44179,1959,46138
10/21/2019,57857,46999,2859,49858
10/22/2019,57899,49300,3259,52559
10/23/2019,57973,51069,2805,53874
10/24/2019,58328,51000,3263,54263
10/25/2019,58018,52157,1818,53975
10/26/2019,57610,50821,1894,52715
10/27/2019,56724,46707,1562,48269
10/28/2019,56480,49279,2968,52247
10/29/2019,54212,48615,3108,51723
10/30/2019,53772,43678,3156,46834
10/31/2019,54233,49775,3959,53734
11/1/2019,57110,50713,1957,52670
11/2/2019,57122,49120,2158,51278
11/3/2019,56500,44530,2098,46628
11/4/2019,56591,46941,3222,50163
11/5/2019,56819,49555,2379,51934
11/6/2019,56612,49290,2789,52079
11/7/2019,55677,45604,10076,55680
11/8/2019,54957,45615,1662,47277
11/9/2019,54867,45234,1289,46523
11/10/2019,54504,39602,467,40069
11/11/2019,52700,42382,2738,45120
11/12/2019,52592,44814,2638,47452
11/13/2019,52480,44894,2702,47596
11/14/2019,51992,44187,2887,47074
11/15/2019,50943,45219,1615,46834
11/16/2019,50177,43853,1752,45605
11/17/2019,49647,39902,1800,41702
11/18/2019,49528,42147,2744,44891
11/19/2019,49901,43452,2424,45876
11/20/2019,50428,43366,2542,45908
11/21/2019,50465,43411,2447,45858
11/22/2019,48650,44330,1507,45837
11/23/2019,46528,43318,1412,44730
11/24/2019,43418,39220,1620,40840
11/25/2019,45708,41457,2730,44187
11/26/2019,46941,43450,2267,45717
11/27/2019,47018,43025,2505,45530
11/28/2019,46924,42269,2628,44897
11/29/2019,46557,42516,1908,44424
11/30/2019,45744,42535,1482,44017
12/1/2019,42081,50713,1957,52670
12/2/2019,44700,49120,2158,51278
12/3/2019,45604,44530,2098,46628
12/4/2019,46156,46941,3222,50163
12/5/2019,46435,49555,2379,51934
12/6/2019,46764,49290,2789,52079
12/7/2019,46161,45604,10076,55680
12/8/2019,44229,45615,1662,47277
12/9/2019,45615,45234,1289,46523
12/10/2019,46736,39602,467,40069
12/11/2019,46443,42382,2738,45120
12/12/2019,46878,44814,2638,47452
12/13/2019,47091,44894,2702,47596
12/14/2019,45965,44187,2887,47074
12/15/2019,41523,45219,1615,46834
12/16/2019,44027,43853,1752,45605
12/17/2019,46187,39902,1800,41702
12/18/2019,46705,42147,2744,44891
12/19/2019,48353,43452,2424,45876
12/20/2019,46795,44227,2410,46637
12/21/2019,48466,43411,2447,45858
12/22/2019,48765,44330,1507,45837
12/23/2019,48771,43318,1412,44730
12/24/2019,49412,39220,1620,40840
12/25/2019,49089,41457,2730,44187
12/26/2019,49263,43450,2267,45717
12/27/2019,49878,43025,2505,45530
12/28/2019,49622,42269,2628,44897
12/29/2019,47830,42516,1908,44424
12/30/2019,48310,42535,1482,44017
12/31/2019,49571,46176,1956,48132
1/1/2020,49968,46735,1478,48213
1/2/2020,50165,45393,1861,47254
1/3/2020,50112,45699,1009,46708
1/4/2020,50028,44923,902,45825
1/5/2020,48288,40515,1042,41557
1/6/2020,46719,41556,2557,44113
1/7/2020,48342,44959,1811,46770
1/8/2020,49094,45133,2359,47492
1/9/2020,49384,44122,2661,46783
1/10/2020,49355,45988,1108,47096
1/11/2020,48961,44566,1015,45581
1/12/2020,47828,39276,1071,40347
1/13/2020,47764,41043,2938,43981
1/14/2020,49128,44183,2400,46583
1/15/2020,49598,45823,2407,48230
1/16/2020,49847,45183,2665,47848
1/17/2020,50107,46697,1113,47810
1/18/2020,50108,45608,1089,46697
1/19/2020,46980,41104,1108,42212
1/20/2020,47485,42886,2536,45422
1/21/2020,48007,43593,2326,45919
1/22/2020,48121,44120,2165,46285
1/23/2020,48319,42134,3273,45407
1/24/2020,48502,44820,1092,45912
1/25/2020,48292,43910,1102,45012
1/26/2020,47564,39152,1028,40180
1/27/2020,47114,40305,3373,43678
1/28/2020,47286,41222,1905,43127
1/29/2020,47309,42218,2211,44429
1/30/2020,48186,42211,2603,44814
1/31/2020,48112,42288,2500,45745
2/1/2020,47354,42036,1292,43328
2/2/2020,45057,37507,7552,1245
2/3/2020,45516,39218,2576,41794
2/4/2020,46320,41967,2244,44211
2/5/2020,45861,39583,1208,40791
2/6/2020,45913,40929,2386,43315
2/7/2020,46897,42402,1282,43684
2/8/2020,46966,41732,1253,42985
2/9/2020,46043,37508,1474,38982
2/10/2020,46059,39696,2473,42169
2/11/2020,46630,41187,2475,43662
2/12/2020,46705,41812,2135,43947
2/13/2020,46797,41752,2570,44322
2/14/2020,46715,42792,1440,44232
2/15/2020,46854,42813,1639,44452
2/16/2020,43417,38202,1604,39806
2/17/2020,45774,40747,2552,43299
2/18/2020,45191,41412,2338,43750
2/19/2020,43648,45286,41157,2497
2/20/2020,45232,41278,3958,45236
2/21/2020,46007,42593,1428,44021
2/22/2020,46325,42348,1252,43600
2/23/2020,45151,38271,1380,39651
2/24/2020,45455,40031,2815,42846
2/25/2020,45567,42089,2523,44612
2/26/2020,46477,42798,1935,44733
2/27/2020,46269,41493,2760,44253
2/28/2020,46530,41957,1455,43412
2/29/2020,46140,37721,2867,40588
3/1/2020,45198,36749,1257,38006
3/2/2020,45510,39486,2350,41836
3/3/2020,44802,39638,2610,42248
3/4/2020,44968,41207,2265,43472
3/5/2020,44610,36593,4005,40598
3/6/2020,42285,36387,2299,38686
3/7/2020,41912,37745,1540,39285
3/8/2020,40695,34531,1187,35718
3/9/2020,41438,37152,2234,39386
3/10/2020,42026,37741,2415,40156
3/11/2020,42144,37879,2596,40475
3/12/2020,41950,36119,3809,39928
3/13/2020,42270,37544,1856,39400
3/14/2020,42364,38696,1425,40121
3/15/2020,40717,34763,1168,35931
3/16/2020,41250,37684,2484,40168
3/17/2020,43151,39721,2237,41958
3/18/2020,45081,40367,2577,42944
3/19/2020,46069,42515,2725,45240
3/20/2020,47027,43776,1388,45164
3/21/2020,47147,43358,1434,44792
3/22/2020,46651,39773,1503,41276
3/23/2020,46351,39453,1212,40665
3/24/2020,46114,35621,1410,37031
3/25/2020,45587,33135,499,33634
3/26/2020,44729,33557,1946,35503
3/27/2020,39256,29039,1392,30431
3/28/2020,37042,29443,478,29921
3/29/2020,37895,29804,436,30240
3/30/2020,37629,30866,346,31212
3/31/2020,37462,30386,355,30741
4/1/2020,37622,30982,379,31361
4/2/2020,37700,31948,432,32380
4/3/2020,38098,33306,380,33686
4/4/2020,39036,34839,375,35214
4/5/2020,39530,34072,1316,35388
4/6/2020,39344,35429,708,36137
4/7/2020,39543,32373,1826,34199
4/8/2020,39630,36092,631,36723
4/9/2020,39840,37182,557,37739
4/10/2020,41388,38935,422,39357
4/11/2020,42971,40745,421,41166
4/12/2020,44672,41670,420,42090
4/13/2020,48103,45539,872,46411
4/14/2020,51214,48086,738,48824
4/15/2020,51869,49072,701,49773
4/16/2020,52241,48001,971,48972
4/17/2020,50795,42461,2133,44594
4/18/2020,49057,36053,2878,38931
4/19/2020,47825,40075,865,40940
4/20/2020,47971,41255,1213,42468
4/21/2020,47350,42144,980,43124
4/22/2020,49863,46097,940,47037
4/23/2020,52865,49650,1042,50692
4/24/2020,55323,52860,905,53765
4/25/2020,55392,48889,932,49821
4/26/2020,54061,48662,626,49288
4/27/2020,53836,50294,964,51258
4/28/2020,55842,51464,927,52391
4/29/2020,59016,55425,1158,56583
4/30/2020,61501,58690,969,59659
5/1/2020,64769,60575,827,61402
5/2/2020,64596,56730,3261,59991
5/3/2020,61166,51498,2368,53866
5/4/2020,62088,56640,1006,57646
5/5/2020,64698,61407,958,62365
5/6/2020,64092,57002,1699,58701
5/7/2020,63956,57913,982,58895
5/8/2020,66749,63949,804,64753
5/9/2020,71354,67294,1205,68499
5/10/2020,70839,62490,2556,65046
5/11/2020,70607,64360,3054,67414
5/12/2020,70880,64383,2065,66448
5/13/2020,71841,68463,1577,70040
5/14/2020,70498,59415,3810,63225
5/15/2020,64777,59537,845,60382
5/16/2020,72135,67640,1080,68720
5/17/2020,74244,67891,1519,69410
5/18/2020,74195,69631,1475,71106
5/19/2020,75539,71554,1406,72960
5/20/2020,76243,72265,1420,73685
5/21/2020,78296,74669,1339,76008
5/22/2020,79273,75110,1314,76424
5/23/2020,79231,73305,1487,74792
5/24/2020,77339,67771,816,68587
5/25/2020,76986,68347,978,69325
5/26/2020,75682,69991,1062,71053
5/27/2020,75298,71424,816,72240
5/28/2020,77117,70904,2364,73268
5/29/2020,74637,68342,1382,69724
5/30/2020,70836,61650,1742,63392
5/31/2020,69401,58696,1393,60089
6/1/2020,70502,63891,1982,65873
6/2/2020,72581,67616,2064,69680
6/3/2020,75433,70426,2721,73147
6/4/2020,77499,71736,3189,74925
6/5/2020,78714,73974,1096,75070
6/6/2020,77288,68909,1788,70697
6/7/2020,72506,64245,1879,66124
6/8/2020,79281,72991,2838,75829
6/9/2020,81552,77000,3302,80302
6/10/2020,81634,76128,3013,79141
6/11/2020,84127,79670,2122,81792
6/12/2020,87327,80727,2842,83569
6/13/2020,86869,77800,1648,79448
6/14/2020,85973,80115,1585,81700
6/15/2020,90583,85278,1585,86863
6/16/2020,92790,87880,3391,91271
6/17/2020,93949,89192,4006,93198
6/18/2020,96219,89823,4462,94285
6/19/2020,97153,89197,2966,92163
6/20/2020,97714,86817,2159,88976
6/21/2020,98191,84917,3197,88114
6/22/2020,98607,86101,2931,89032
6/23/2020,98958,90928,4284,95212
6/24/2020,98622,85425,3146,88571
6/25/2020,92256,73472,6571,80043
6/26/2020,91034,80234,2125,82359
6/27/2020,93494,83971,2402,86373
6/28/2020,92565,82855,3106,85961
6/29/2020,89797,73119,4990,78109
6/30/2020,93550,84409,2459,86868
7/1/2020,94702,88799,3229,92028
7/2/2020,96588,91212,4923,96135
7/3/2020,102828,93154,8048,101202
7/4/2020,100228,81854,11595,93449
7/5/2020,82818,66865,4310,71175
7/6/2020,91924,83836,2718,86554
7/7/2020,95504,90246,2461,92707
7/8/2020,95730,89032,2438,91470
7/9/2020,92122,95722,3126,98848
7/10/2020,92237,92238,92239,92240
7/11/2020,99086,88436,5703,94139
7/12/2020,82385,66955,6659,73614
7/13/2020,89191,83475,2435,85910
7/14/2020,97226,95088,4133,99221
7/15/2020,97550,93125,5615,98740
7/16/2020,97550,97925,5615,103540
7/17/2020,95121,90544,2931,93475
7/18/2020,96055,93960,3633,97593
7/19/2020,92495,83324,6315,89639
7/20/2020,85182,75478,6629,82107
7/21/2020,75888,67619,3597,71216
7/22/2020,79006,77869,2412,80281
7/23/2020,85557,85136,2321,87457
7/24/2020,89579,90208,1958,92166
7/25/2020,92625,92630,2147,94777
7/26/2020,92206,89831,2303,92134
7/27/2020,96057,96207,2658,98865
7/28/2020,98738,98760,3614,102374
7/29/2020,99401,95627,4286,99913
7/30/2020,97647,85796,2934,88730
7/31/2020,93539,84711,1728,86439
8/1/2020,88094,81168,1777,82945
8/2/2020,87072,77268,3775,81043
8/3/2020,90851,84131,2874,87005
8/4/2020,91645,87642,2404,90046
8/5/2020,93623,94103,3382,97485
8/6/2020,97945,93804,2700,96504
8/7/2020,98684,97226,2590,99816
8/8/2020,97997,96426,3500,99926
8/9/2020,96982,88785,3722,92507
8/10/2020,95397,88433,4755,93188
8/11/2020,96965,96668,4116,100784
8/12/2020,100963,99029,4290,103319
8/13/2020,102803,100154,5307,105461
8/14/2020,100001,89329,1902,91231
8/15/2020,99359,95331,2130,97461
8/16/2020,92766,93618,4370,97988
8/17/2020,96286,96762,7534,104296
8/18/2020,100542,99064,6533,105597
8/19/2020,99203,88744,5689,94433
8/20/2020,88085,73797,7554,81351
8/21/2020,85952,79068,2265,81333
8/22/2020,83891,82549,2018,84567
8/23/2020,86041,84354,1990,86344
8/24/2020,91781,90876,2101,92977
8/25/2020,92213,93098,1671,94769
8/26/2020,90802,88621,2549,91170
8/27/2020,88165,82426,3027,85453
8/28/2020,81933,74559,2873,77432
8/29/2020,79485,71622,1419,73041
8/30/2020,78221,62796,1494,64290
8/31/2020,78410,73735,2393,76128
9/1/2020,75556,78969,2411,81380
9/2/2020,83904,77954,2312,80266
9/3/2020,85061,82455,2988,85443
9/4/2020,77311,69134,3584,72718
9/5/2020,78107,74912,2238,77150
9/6/2020,77074,72876,1926,74802
9/7/2020,81753,80613,2528,83141
9/8/2020,85425,86560,2471,89031
9/9/2020,89417,89983,2438,92421
9/10/2020,90901,91368,2663,94031
9/11/2020,91329,92701,1836,94537
9/12/2020,91564,93378,1907,95285
9/13/2020,91957,88579,1868,90447
9/14/2020,92463,92956,3767,96723
9/15/2020,94555,95512,3107,98619
9/16/2020,97508,94899,2307,97206
9/17/2020,95489,94391,3229,97620
9/18/2020,97209,98065,2025,100090
9/19/2020,96621,95589,3564,99153
9/20/2020,91055,87090,3290,90380
9/21/2020,90458,91074,4576,95650
9/22/2020,95245,94208,2020,96228
9/23/2020,93652,93384,2685,96069
9/24/2020,94233,93609,2112,95721
9/25/2020,93223,90935,1596,92531
9/26/2020,91305,86946,1531,88477
9/27/2020,90079,81378,1481,82859
9/28/2020,90135,85921,1855,87776
9/29/2020,89731,85553,1898,87451
9/30/2020,87279,85264,1798,87062
10/1/2020,83379,83956,2949,86905
10/2/2020,81462,80933,1321,82254
10/3/2020,77309,78493,1233,79726
10/4/2020,74347,70993,1214,72207
10/5/2020,75895,75251,1777,77028
10/6/2020,75659,75204,1785,76989
10/7/2020,75795,70539,1347,71886
10/8/2020,75827,74085,1205,75290
10/9/2020,73944,69609,4340,73949
10/10/2020,74042,68882,1219,70101
10/11/2020,74042,61114,1288,62402
10/12/2020,72640,71241,1509,72750
10/13/2020,72458,71379,1455,72834
10/14/2020,72452,70516,1416,71932
10/15/2020,72071,68217,1906,70123
10/16/2020,71284,67536,906,68442
10/17/2020,70328,67239,1079,68318
10/18/2020,65281,59839,1091,60930
10/19/2020,64398,61167,1136,62303
10/20/2020,63121,62649,2299,64948
10/21/2020,62850,62479,2165,64644
10/22/2020,62750,56190,2457,58647
10/23/2020,62816,61678,825,58647
10/24/2020,62788,60983,1028,58647
10/25/2020,62850,60647,968,58647
10/26/2020,62747,55993,2511,58647
10/27/2020,62029,57193,2081,58647
10/28/2020,61987,57051,2143,58647
10/29/2020,60813,56330,2186,58647
10/30/2020,59420,49119,598,58647
10/31/2020,57837,51752,754,58647
11/1/2020,56387,48721,940,58647
11/2/2020,56675,50827,1824,58647
11/3/2020,57017,52520,1920,58647
11/4/2020,57488,53729,1997,58647
11/5/2020,57276,52819,1899,58647
11/6/2020,54818,49058,653,58647
11/7/2020,54209,48219,671,58647
11/8/2020,52311,47232,1020,58647
11/9/2020,51937,50190,1915,58647
11/10/2020,52348,51248,2050,58647
11/11/2020,52804,51242,2157,58647
11/12/2020,52972,50971,2026,58647
11/13/2020,52716,51220,988,58647
11/14/2020,52798,50748,704,58647
11/15/2020,51331,41056,4452,58647
11/16/2020,52090,47237,775,58647
11/17/2020,52267,47937,1712,58647
11/18/2020,52044,48312,1899,58647
11/19/2020,52011,48518,1959,58647
11/20/2020,52003,50136,594,58647
11/21/2020,51954,49568,700,58647
11/22/2020,50799,44961,808,58647
11/23/2020,50505,47911,1756,58647
11/24/2020,50521,49098,1934,58647
11/25/2020,50554,49420,1940,58647
11/26/2020,50489,49766,2183,58647
11/27/2020,50807,50862,776,58647
11/28/2020,50859,50220,704,58647
11/29/2020,50581,45754,784,58647
11/30/2020,50629,48444,1536,58647
12/1/2020,50726,49082,1987,58647
12/2/2020,50455,50017,1884,58647
12/3/2020,50708,50090,1807,58647
12/4/2020,50963,51100,865,58647
12/5/2020,50910,50167,751,58647
12/6/2020,50808,46042,713,58647
12/7/2020,50974,48861,1714,58647
12/8/2020,50810,46726,2193,58647
12/9/2020,50964,49232,2293,58647
12/10/2020,51127,49566,2046,58647
12/11/2020,50983,50285,1550,58647
12/12/2020,51332,47384,1684,58647
12/13/2020,50605,44759,1170,58647
12/14/2020,50728,48641,1837,58647
12/15/2020,51032,48353,2022,58647
12/16/2020,51599,50043,2143,58647
12/17/2020,51783,50253,2397,58647
12/18/2020,52771,52533,907,58647
12/19/2020,53344,51824,994,58647
12/20/2020,53423,47080,942,58647
12/21/2020,53389,50351,2026,58647
12/22/2020,53605,52088,2172,58647
12/23/2020,53992,52761,2008,58647
12/24/2020,53751,52007,2283,58647
